Sex;Age;Periodo;Total
Both genders;10 years old;2010;3.954
Both genders;10 years old;2009;4.527
Both genders;10 years old;2008;6.916
Both genders;11 years old;2021;5.633
Both genders;11 years old;2020;4.292
Both genders;11 years old;2019;6.898
Both genders;11 years old;2018;5.659
Both genders;11 years old;2017;4.969
Both genders;11 years old;2016;4.160
Both genders;11 years old;2015;3.374
Both genders;11 years old;2014;3.221
Both genders;11 years old;2013;2.998
Both genders;11 years old;2012;3.180
Both genders;11 years old;2011;3.937
Both genders;11 years old;2010;3.908
Both genders;11 years old;2009;4.535
Both genders;11 years old;2008;7.111
Both genders;12 years old;2021;5.275
Both genders;12 years old;2020;4.301
Both genders;12 years old;2019;6.736
Both genders;12 years old;2018;5.626
Both genders;12 years old;2017;5.228
Both genders;12 years old;2016;4.262
Both genders;12 years old;2015;3.430
Both genders;12 years old;2014;3.285
Both genders;12 years old;2013;3.132
Both genders;12 years old;2012;3.378
Both genders;12 years old;2011;3.840
Both genders;12 years old;2010;3.854
Both genders;12 years old;2009;4.608
Both genders;12 years old;2008;7.136
Both genders;13 years old;2021;5.014
Both genders;13 years old;2020;4.102
Both genders;13 years old;2019;6.670
Both genders;13 years old;2018;5.886
Both genders;13 years old;2017;5.043
Both genders;13 years old;2016;4.326
Both genders;13 years old;2015;3.578
Both genders;13 years old;2014;3.316
Both genders;13 years old;2013;3.292
Both genders;13 years old;2012;3.287
Both genders;13 years old;2011;3.908
Both genders;13 years old;2010;3.757
Both genders;13 years old;2009;4.669
Both genders;13 years old;2008;6.995
Both genders;14 years old;2021;5.083
Both genders;14 years old;2020;4.230
Both genders;14 years old;2019;6.947
Both genders;14 years old;2018;6.085
Both genders;14 years old;2017;5.282
Both genders;14 years old;2016;4.490
Both genders;14 years old;2015;3.637
Both genders;14 years old;2014;3.560
Both genders;14 years old;2013;3.267
Both genders;14 years old;2012;3.442
Both genders;14 years old;2011;4.071
Both genders;14 years old;2010;3.975
Both genders;14 years old;2009;4.830
Both genders;14 years old;2008;7.056
Both genders;15 years old;2021;5.183
Both genders;15 years old;2020;4.344
Both genders;15 years old;2019;7.366
Both genders;15 years old;2018;6.633
Both genders;15 years old;2017;5.485
Both genders;15 years old;2016;4.682
Both genders;15 years old;2015;3.862
Both genders;15 years old;2014;3.724
Both genders;15 years old;2013;3.505
Both genders;15 years old;2012;3.776
Both genders;15 years old;2011;4.213
Both genders;15 years old;2010;4.118
Both genders;15 years old;2009;5.084
Both genders;15 years old;2008;7.528
Both genders;16 years old;2021;5.755
Both genders;16 years old;2020;4.829
Both genders;16 years old;2019;8.220
Both genders;16 years old;2018;7.147
Both genders;16 years old;2017;5.985
Both genders;16 years old;2016;4.960
Both genders;16 years old;2015;4.009
Both genders;16 years old;2014;3.661
Both genders;16 years old;2013;3.787
Both genders;16 years old;2012;3.938
Both genders;16 years old;2011;4.659
Both genders;16 years old;2010;4.617
Both genders;16 years old;2009;5.617
Both genders;16 years old;2008;8.158
Both genders;17 years old;2021;6.884
Both genders;17 years old;2020;5.790
Both genders;17 years old;2019;9.895
Both genders;17 years old;2018;8.648
Both genders;17 years old;2017;7.030
Both genders;17 years old;2016;5.489
Both genders;17 years old;2015;4.455
Both genders;17 years old;2014;4.076
Both genders;17 years old;2013;4.052
Both genders;17 years old;2012;4.442
Both genders;17 years old;2011;5.379
Both genders;17 years old;2010;5.517
Both genders;17 years old;2009;6.741
Both genders;17 years old;2008;9.692
Both genders;18 years old;2021;10.992
Both genders;18 years old;2020;8.947
Both genders;18 years old;2019;15.099
Both genders;18 years old;2018;12.975
Both genders;18 years old;2017;10.456
Both genders;18 years old;2016;8.262
Both genders;18 years old;2015;6.709
Both genders;18 years old;2014;5.850
Both genders;18 years old;2013;5.683
