Sex;Age;Functions;Period;Total
Both genders;22 years old;Mortality rate;2021;0.265777
Both genders;22 years old;Mortality rate;2020;0.233188
Both genders;22 years old;Mortality rate;2019;0.221047
Both genders;22 years old;Mortality rate;2018;0.217917
Both genders;23 years old;Mortality rate;2022;0.264818
Both genders;23 years old;Mortality rate;2021;0.246337
Both genders;23 years old;Mortality rate;2020;0.287704
Both genders;23 years old;Mortality rate;2019;0.246065
Both genders;23 years old;Mortality rate;2018;0.258718
Both genders;24 years old;Mortality rate;2022;0.315351
Both genders;24 years old;Mortality rate;2021;0.308393
Both genders;24 years old;Mortality rate;2020;0.235763
Both genders;24 years old;Mortality rate;2019;0.254959
Both genders;24 years old;Mortality rate;2018;0.293344
Both genders;25 years old;Mortality rate;2022;0.273400
Both genders;25 years old;Mortality rate;2021;0.306822
Both genders;25 years old;Mortality rate;2020;0.341747
Both genders;25 years old;Mortality rate;2019;0.296724
Both genders;25 years old;Mortality rate;2018;0.253529
Both genders;26 years old;Mortality rate;2022;0.263906
Both genders;26 years old;Mortality rate;2021;0.254823
Both genders;26 years old;Mortality rate;2020;0.285331
Both genders;26 years old;Mortality rate;2019;0.262065
Both genders;26 years old;Mortality rate;2018;0.316993
Both genders;27 years old;Mortality rate;2022;0.277696
Both genders;27 years old;Mortality rate;2021;0.307020
Both genders;27 years old;Mortality rate;2020;0.314268
Both genders;27 years old;Mortality rate;2019;0.302596
Both genders;27 years old;Mortality rate;2018;0.252249
Both genders;28 years old;Mortality rate;2022;0.297510
Both genders;28 years old;Mortality rate;2021;0.293181
Both genders;28 years old;Mortality rate;2020;0.309495
Both genders;28 years old;Mortality rate;2019;0.280517
Both genders;28 years old;Mortality rate;2018;0.336475
Both genders;29 years old;Mortality rate;2022;0.346544
Both genders;29 years old;Mortality rate;2021;0.317353
Both genders;29 years old;Mortality rate;2020;0.316526
Both genders;29 years old;Mortality rate;2019;0.299810
Both genders;29 years old;Mortality rate;2018;0.365078
Both genders;30 years old;Mortality rate;2022;0.349355
Both genders;30 years old;Mortality rate;2021;0.406861
Both genders;30 years old;Mortality rate;2020;0.385250
Both genders;30 years old;Mortality rate;2019;0.334415
Both genders;30 years old;Mortality rate;2018;0.366695
Both genders;31 years old;Mortality rate;2022;0.345244
Both genders;31 years old;Mortality rate;2021;0.342805
Both genders;31 years old;Mortality rate;2020;0.419648
Both genders;31 years old;Mortality rate;2019;0.371803
Both genders;31 years old;Mortality rate;2018;0.372648
Both genders;32 years old;Mortality rate;2022;0.385226
Both genders;32 years old;Mortality rate;2021;0.408777
Both genders;32 years old;Mortality rate;2020;0.453604
Both genders;32 years old;Mortality rate;2019;0.363993
Both genders;32 years old;Mortality rate;2018;0.346700
Both genders;33 years old;Mortality rate;2022;0.472735
Both genders;33 years old;Mortality rate;2021;0.428866
Both genders;33 years old;Mortality rate;2020;0.428973
